Input.Number	Input.Sentence	Answer.relations	Answer.if_single_relation	Answer.if_positive_agg	Answer.if_negative_agg	Answer.relationtype
2244	cancer smoking cannabis can give you cancer , less likely than tobacco	[[{'concept1': 'smoking cannabis', 'relation': 'can give you', 'concept2': 'cancer', 'relationtype': 'positive'}], [{'concept1': 'Cannabis smoking', 'relation': 'Gives you', 'concept2': 'Cancer', 'relationtype': 'negative'}], [{'concept1': 'smoking cannabis', 'relation': 'cancer', 'concept2': 'tobacco', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2249	cannabinoids such as the main active component of marijuana ( thc ) have anticancer effects on human brain cancer cells	[[{'concept1': 'cannabinoids', 'relation': 'have anticancer effects', 'concept2': 'on human brain cancer cells', 'relationtype': 'positive'}], [{'concept1': 'marijuana', 'relation': 'anticancer effects', 'concept2': 'human brain cancer cells', 'relationtype': 'negative'}, {'concept1': 'cannabinoids', 'relation': 'main active component', 'concept2': 'marijuana', 'relationtype': 'positive'}], [{'concept1': 'cannabinoids', 'relation': 'have anticancer effects', 'concept2': 'human brain cancer cells', 'relationtype': 'negative'}]]	0	1	1	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2252	a violence was supposedly due to a video game	[[{'concept1': 'video game', 'relation': 'due to', 'concept2': 'violence', 'relationtype': 'positive'}], nan, [{'concept1': 'video game', 'relation': 'due to', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2253	this was to occur , therefore proving that the violent video game caused violence , thus proving that violent video games can lead to violence	[[{'concept1': 'violent video game', 'relation': 'caused', 'concept2': 'violence', 'relationtype': 'positive'}, {'concept1': 'violent video games', 'relation': 'lead to', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'violent video game', 'relation': 'caused', 'concept2': 'violence', 'relationtype': 'positive'}, {'concept1': 'violent video games', 'relation': 'can lead to', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'violent video game', 'relation': 'caused', 'concept2': 'violence', 'relationtype': 'negative'}, {'concept1': 'violent video game', 'relation': 'can lead to', 'concept2': 'violence', 'relationtype': 'negative'}]]	0	1	0	{'positive': {'min': 0, 'max': 2, 'agg': 2}, 'negative': {'min': 0, 'max': 2, 'agg': 0}}
2254	this was to see whether video games have led to more violence : 1	[[{'concept1': 'video games', 'relation': 'led to more', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'led', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'led to', 'concept2': 'more violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2259	an 8 year old boy had just finished playing grand theft auto a video game critics blame for encouraging violence before an 8 year old boy fatally shot a 90 year old woman	[[{'concept1': 'playing grand theft', 'relation': 'encouraging', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'grand theft auto a video game', 'relation': 'encouraging', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video game', 'relation': 'encouraging', 'concept2': 'violence', 'relationtype': 'negative'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2264	this was to video game violence people become aroused by the violence via a number of physiological and hormonal cues	[[{'concept1': 'video game violence people', 'relation': 'become aroused by', 'concept2': 'he violence via a number of physiological and hormonal cues', 'relationtype': 'positive'}], [{'concept1': 'video game violence', 'relation': 'aroused', 'concept2': 'physiological and hormonal cues', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2283	violent video games frequently develop and an exaggerated level of violence and destructiveness	[[{'concept1': 'violent video games', 'relation': 'develop', 'concept2': 'exaggerated level of violence and destructiveness', 'relationtype': 'positive'}], [{'concept1': 'violent video games', 'relation': 'develop', 'concept2': 'an exaggerated level of violence', 'relationtype': 'positive'}], [{'concept1': 'violent video games', 'relation': 'develop', 'concept2': 'violence', 'relationtype': 'positive'}, {'concept1': 'violent video games', 'relation': 'develop', 'concept2': 'destructiveness', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2288	[ 6 ] so video games actually reduce real world violence	[[{'concept1': 'video games', 'relation': 'reduce', 'concept2': 'violence', 'relationtype': 'negative'}], [{'concept1': 'video games', 'relation': 'reduce', 'concept2': 'real world violence', 'relationtype': 'negative'}], [{'concept1': 'video games', 'relation': 'reduce', 'concept2': 'real world violence', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2311	generally the whole video games cause violence thing is agenda	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2312	had the video game not existed , there would have been no violence occurring , thus making video games a cause for that instance of violence	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'a cause for', 'concept2': 'that instance of violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2313	i would like to link to a brilliant video about how violent video games desensitizes us to violent video games , not real life violence	[[{'concept1': 'violent video games', 'relation': 'desensitizes us', 'concept2': 'violent video games', 'relationtype': 'negative'}], nan, [{'concept1': 'violent video games', 'relation': 'desensitizes us', 'concept2': 'violent video games', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
2326	so following the topic , video games are a significant cause of violence	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2329	when you saying that video games cause violence	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2342	this was to commit the common argument against violence in video games is that violence in video games cause aggression	[[{'concept1': 'violence', 'relation': 'cause', 'concept2': 'aggression', 'relationtype': 'positive'}], [{'concept1': 'violence in video games', 'relation': 'cause', 'concept2': 'aggression', 'relationtype': 'positive'}], [{'concept1': 'violence in video games', 'relation': 'cause', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2366	this was of how his video game addiction can lead to domestic violence	[[{'concept1': 'video game addiction', 'relation': 'lead to', 'concept2': 'domestic violence', 'relationtype': 'positive'}], [], [{'concept1': 'video game addiction', 'relation': 'lead to', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2378	most violent video games now adays punish extreme or unessecary violence examples of this are dis honoured	[[{'concept1': 'violent video games', 'relation': 'punish', 'concept2': 'violence examples', 'relationtype': 'negative'}], [{'concept1': 'most violent video games', 'relation': 'punish', 'concept2': 'extreme', 'relationtype': 'negative'}], [{'concept1': 'video games', 'relation': 'punish', 'concept2': 'violence examples', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2382	my evidence demonstrates how violent video games actually reduce the incentive to instigate real violence and you will see just how unrealistic my sexy opponent 's claims are	[[{'concept1': 'violent video games', 'relation': 'reduce t', 'concept2': 'real violence', 'relationtype': 'negative'}], [{'concept1': 'violent video games', 'relation': 'reduce', 'concept2': 'the incentive to instigate real violence', 'relationtype': 'negative'}], [{'concept1': 'Violent videogames', 'relation': 'Reduce', 'concept2': 'incentive to instigate real violence', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2394	more people think video games cause violence than not	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], nan, [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2409	my opponent claims all video games cause violence ''	[[{'concept1': 'all video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2450	if you look at the myth category of the website , it says , the growth in violent video game sales is linked to the growth in youth violence especially school violence throughout the united states ''	[[{'concept1': 'violent video game sales', 'relation': 'is linked to', 'concept2': 'youth violence', 'relationtype': 'positive'}], [{'concept1': 'violent video game sales', 'relation': 'linked', 'concept2': 'youth violence', 'relationtype': 'positive'}], [{'concept1': 'growth in violent video games sales', 'relation': 'linked', 'concept2': 'growth in youth violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2462	people believe video games cause violence	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2480	me love video games , but does the high violence sometimes make you violent	[[{'concept1': 'high violence', 'relation': 'make you', 'concept2': 'violent', 'relationtype': 'positive'}], [], [{'concept1': 'high violence', 'relation': 'make you', 'concept2': 'violent', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2483	actual violence was occuring from video games	[[{'concept1': 'violence', 'relation': 'occuring from', 'concept2': 'video games', 'relationtype': 'negative'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'actual violence', 'relationtype': 'positive'}], nan]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2505	maybe you should actually say video games cause violence for children , because the people know that video games wo n't make adults behave more aggressively	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence for children', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence for children', 'relationtype': 'positive'}, {'concept1': 'video games', 'relation': "wo n't make", 'concept2': 'adults behave more aggressively', 'relationtype': 'negative'}]]	0	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2537	the given video game in an example of a man has promoted something useful , as opposed to violence	[[{'concept1': 'video game', 'relation': 'promote', 'concept2': 'useful', 'relationtype': 'positive'}], [{'concept1': 'video game', 'relation': 'promote', 'concept2': 'something useful', 'relationtype': 'positive'}], [{'concept1': 'the given video game', 'relation': 'has promoted', 'concept2': 'something useful', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2545	so someone addicted to violent video games might be triggered to violence	[[{'concept1': 'VIOLENT VIDEO GAMES', 'relation': 'POSITIVELY CORRELATED', 'concept2': 'VIOLENCE', 'relationtype': 'positive'}], [], [{'concept1': 'violent video games', 'relation': 'triggered', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2604	the research is getting clearer that over the long term , people with more exposure to violent video games have demonstrated things like lower empathy to violence , according to jeanne brockmyer of toledo	[[{'concept1': 'exposure to violent video games', 'relation': 'have', 'concept2': 'lower empathy to violence', 'relationtype': 'negative'}], [{'concept1': 'exposure to violent video games', 'relation': 'demonstrated', 'concept2': 'lower empathy to violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'lower', 'concept2': 'empathy', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2619	the kids should not play violent video games because can cause violence to influence kids minds and that would change the life of a family	[[{'concept1': 'Violent games', 'relation': 'Cause', 'concept2': 'Violence', 'relationtype': 'negative'}], [{'concept1': 'kids', 'relation': 'cause', 'concept2': 'violent video games', 'relationtype': 'negative'}], [{'concept1': 'violent video games', 'relation': 'influence', 'concept2': 'kids minds', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
2626	but how far has this even negative press is good press philosophy taken violent video games it starts to desensitize them at an early age to the effects of violence	[nan, [{'concept1': 'violent video games', 'relation': 'starts to', 'concept2': 'desensitize', 'relationtype': 'positive'}], [{'concept1': 'early age', 'relation': 'effect', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2629	both video game and movie violence exposure were associated with stronger proviolence attitudes ''	[[{'concept1': 'video game and movie violence exposure', 'relation': 'associated with', 'concept2': 'stronger proviolence attitudes', 'relationtype': 'positive'}], [{'concept1': 'video game and movie violence exposure', 'relation': 'associated with', 'concept2': 'stronger proviolence attitudes', 'relationtype': 'positive'}], [{'concept1': 'video game', 'relation': 'associated', 'concept2': 'movie violence exposure', 'relationtype': 'negative'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2639	this decrease makes mockery of the idea that video games have legitimately contributed to the rise of violence in society today ( 5 )	[[{'concept1': 'video games', 'relation': 'contributed', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'this decrease', 'relation': 'makes mockery', 'concept2': 'of the idea that video games have contributed to the rise of violence in society today', 'relationtype': 'negative'}], nan]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2645	the moral panic over violent video games also misdirects energy away from eliminating the actual causes of youth violence ''	[[{'concept1': 'the moral panic over violent video games', 'relation': 'misdirects energy away from', 'concept2': 'eliminating the actual causes of youth violence', 'relationtype': 'negative'}], [{'concept1': 'moral panic', 'relation': 'misdirects', 'concept2': 'energy', 'relationtype': 'negative'}], nan]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
2648	juvenile violence rates are at a 30 year low because of video games	[[{'concept1': 'juvenile violence rates are at a 30 year low', 'relation': 'because of', 'concept2': 'video games', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'are at a 30 year low', 'concept2': 'juvenile violence rates', 'relationtype': 'negative'}], [{'concept1': 'video games', 'relation': 'lower', 'concept2': 'juvenile violence rates', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2684	i must prove that ( a ) video games actually desensitize individuals and ( b ) desensitization significantly contributes to violence	[[], [{'concept1': 'video games', 'relation': 'desensitize', 'concept2': 'individuals', 'relationtype': 'negative'}, {'concept1': 'desensitization', 'relation': 'contributes', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'desensitization', 'relation': 'contributes to', 'concept2': 'violence', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2715	the violent video game allows for extraneous violence	[[{'concept1': 'the violent video game', 'relation': 'allows for', 'concept2': 'extraneous violence', 'relationtype': 'positive'}], [{'concept1': 'violent video game', 'relation': 'allows', 'concept2': 'extraneous violence', 'relationtype': 'positive'}], [{'concept1': 'violent video game', 'relation': 'allows', 'concept2': 'extraneous violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2720	why should video games be different gun violence : since the massive craze with fps 's we have seen a drop in homicides in the	[nan, [{'concept1': 'the massive craze with fps', 'relation': 'drop', 'concept2': 'homicides', 'relationtype': 'negative'}], [{'concept1': 'Homicides', 'relation': 'Dropped', 'concept2': 'Craze with fps', 'relationtype': 'positive'}]]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2740	you say video games cause violence	[[{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'cause', 'concept2': 'violence', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2766	coincidently the most popular video games incite violence	[[{'concept1': 'most popular video games', 'relation': 'incite', 'concept2': 'violence', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'popular', 'concept2': 'incite violence', 'relationtype': 'negative'}], [{'concept1': 'popular video games', 'relation': 'incite', 'concept2': 'violence', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2770	thats because video games dont lead to violence	[[{'concept1': 'video games', 'relation': 'dont lead', 'concept2': 'to violence', 'relationtype': 'negative'}], [{'concept1': 'video games', 'relation': "don't lead to", 'concept2': 'violence', 'relationtype': 'negative'}], nan]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
2798	all video games act as a catalyst for aggression	[[{'concept1': 'videogames', 'relation': 'catalyst', 'concept2': 'aggression', 'relationtype': 'negative'}], [{'concept1': 'all video games', 'relation': 'catalyst', 'concept2': 'aggression', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'catalyst', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2806	violent video games even correlate with aggression in individuals	[[{'concept1': 'violent video games', 'relation': 'aggression', 'concept2': 'individuals', 'relationtype': 'negative'}], nan, [{'concept1': 'violent video games', 'relation': 'correlate with', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2816	aggression 's accurate to suggest that after exposure to violent video games young adults do become aggressive	[[{'concept1': 'exposure to violent video games', 'relation': 'become', 'concept2': 'aggressive', 'relationtype': 'positive'}], [{'concept1': 'exposure to violent video games', 'relation': 'become aggressive', 'concept2': 'young adults', 'relationtype': 'positive'}], []]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2819	violent video games are tied to aggression	[[{'concept1': 'violent video games', 'relation': 'tied to', 'concept2': 'agression', 'relationtype': 'positive'}], nan, [{'concept1': 'violent video games', 'relation': 'tied', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2839	this study established to create a direct connection between the increase of aggression and video games	[nan, [{'concept1': 'video games', 'relation': 'caused', 'concept2': 'aggression', 'relationtype': 'positive'}], [{'concept1': 'video games', 'relation': 'increase', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2852	teens play violent video games : tend to be more aggressive	[[{'concept1': 'teens play violent video games', 'relation': 'tend to', 'concept2': 'be more aggressive', 'relationtype': 'positive'}], [], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2857	this is what said : according to a meta analysis ; the evidence strongly suggests that exposure to violent video games is a causal risk factor for aggressive affect and for decreased empathy and pro social behavior	[[{'concept1': 'exposure to violent video games', 'relation': 'a causal risk factor', 'concept2': 'aggressive affect', 'relationtype': 'positive'}, {'concept1': 'exposure to violent video games', 'relation': 'decreased', 'concept2': 'empathy', 'relationtype': 'negative'}, {'concept1': 'exposure to violent video games', 'relation': 'decreased', 'concept2': 'pro social behavior', 'relationtype': 'negative'}], [], [{'concept1': 'exposure to violent video games', 'relation': 'is a causal risk factor', 'concept2': 'aggressive affect and for decreased empathy and pro social behavior', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 2, 'agg': 0}}
2859	technological advancements in game play experience including the ability to play online has accounted for the increase of aggression and video games	[[{'concept1': 'technological advancements in game play experience', 'relation': 'has accounted for', 'concept2': 'increase of aggression', 'relationtype': 'negative'}], [{'concept1': 'technological advancements in game play experience', 'relation': 'accounted for', 'concept2': 'increase of aggression', 'relationtype': 'positive'}], [{'concept1': 'the ability to play online', 'relation': 'has accounted for', 'concept2': 'increase of aggression', 'relationtype': 'positive'}, {'concept1': 'the ability to play online', 'relation': 'has accounted for', 'concept2': 'the increase of video games', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 0, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2860	that habitual violent video game playing had a causal link with increased , long term , aggressive behavior	[[{'concept1': 'violent video game playing', 'relation': 'increased', 'concept2': 'long term , aggressive behavior', 'relationtype': 'positive'}], [{'concept1': 'violent video game', 'relation': 'increased', 'concept2': 'aggressive behavior', 'relationtype': 'positive'}], [{'concept1': 'habitual violent video game playing', 'relation': 'increased', 'concept2': 'long term aggressive behavior', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2885	the pamf source : my opponent 's is from the palo alto medical foundation , and makes the claim that violent video games leads to aggression	[[{'concept1': 'violent video games', 'relation': 'leads to', 'concept2': 'agression', 'relationtype': 'positive'}], [{'concept1': 'violent video games', 'relation': 'leads to', 'concept2': 'aggression', 'relationtype': 'negative'}], [{'concept1': 'violent video games', 'relation': 'leads to', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2892	these data suggest very strongly that participating in the playing of violent video games by children and youth increase aggressive thought and behavior	[[{'concept1': 'playing of violent video games', 'relation': 'increase', 'concept2': 'aggressive thought and behavior', 'relationtype': 'positive'}], [{'concept1': 'violent video games', 'relation': 'increase', 'concept2': 'aggressive thought and behavior', 'relationtype': 'positive'}], [{'concept1': 'playing of violent video games', 'relation': 'increase', 'concept2': 'aggressive behavior', 'relationtype': 'positive'}, {'concept1': 'playing of violent video games', 'relation': 'increase', 'concept2': 'aggressive thought', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2905	the kids play video games ( violent ones actually ) become more aggressive and prone to copy actions from a violent video game	[[{'concept1': 'the kids play video games', 'relation': 'become more', 'concept2': 'aggressive', 'relationtype': 'positive'}], [{'concept1': 'kids', 'relation': 'play video games', 'concept2': 'become more aggressive', 'relationtype': 'negative'}], []]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
2907	the actual study shows very strongly that repeated exposure to violent video games can increase aggression by increasing aggressive thinking ''	[[{'concept1': 'violent video games', 'relation': 'increase', 'concept2': 'aggression', 'relationtype': 'positive'}], [{'concept1': 'repeated exposure to violent video games', 'relation': 'can increase', 'concept2': 'aggression by increasing aggressive thinking', 'relationtype': 'positive'}], [{'concept1': 'repeated exposure to violent video games', 'relation': 'increase', 'concept2': 'aggression', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
2923	the evidence strongly suggests that exposure to violent video games is a causal risk factor for aggressive affect and for decreased empathy and prosocial behavior	[[{'concept1': 'exposure to violent video games', 'relation': 'causal risk factor for', 'concept2': 'aggressive affect', 'relationtype': 'positive'}, {'concept1': 'exposure to violent video games', 'relation': 'causal risk factor for', 'concept2': 'aggressive affect', 'relationtype': 'positive'}, {'concept1': 'exposure to violent video games', 'relation': 'causal risk factor for', 'concept2': 'prosocial behavior', 'relationtype': 'positive'}], [{'concept1': 'exposure to violent video games', 'relation': 'causal risk factor', 'concept2': 'aggressive affect and for decreased empathy and prosocial behavior', 'relationtype': 'negative'}], [{'concept1': 'exposure to violent video games', 'relation': 'causal risk factor', 'concept2': 'aggressive affect', 'relationtype': 'positive'}, {'concept1': 'exposure to violent video games', 'relation': 'decreased', 'concept2': 'prosocial behavior', 'relationtype': 'negative'}, {'concept1': 'exposure to violent video games', 'relation': 'decreased', 'concept2': 'empathy', 'relationtype': 'negative'}]]	0	1	1	{'positive': {'min': 0, 'max': 3, 'agg': 1}, 'negative': {'min': 0, 'max': 2, 'agg': 1}}
2924	the evidence strongly suggests that exposure to violent video games is a causal risk factor for aggressive cognition and for decreased empathy and prosocial behavior	[[{'concept1': 'evidence', 'relation': 'strongly suggests', 'concept2': 'aggressive cognition and for decreased empathy and prosocial behavior', 'relationtype': 'negative'}], [{'concept1': 'exposure to violent video games', 'relation': 'is a risk factor for', 'concept2': 'aggressive cognition and for decreased empathy and prosocial behavior', 'relationtype': 'positive'}], [{'concept1': 'exposure to violent video games', 'relation': 'decreased', 'concept2': 'empathy and prosocial behavior', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
