Input.Number	Input.Sentence	Answer.detect	Answer.detect_agg
2082	marijuana harms the cancer cell version	['Relation', 'Relation', 'Relation']	Relation
2086	smoking marijuana is harmful to the lungs in other ways than cancer	['Relation', 'Relation', 'Relation']	Relation
2088	smoking marijuana has been proven to reduce other types of cancer	['Relation', 'Relation', 'Relation']	Relation
2090	smoking marijuana does not in fact lead to lung cancer	['NoRelation', 'Relation', 'NoRelation']	NoRelation
2096	smoked marijuana contains cancer causing compounds ''	['Relation', 'NoRelation', 'Relation']	Relation
2106	marijuana has 60 % more cancer causing particles than tobacco	['Relation', 'Relation', 'Relation']	Relation
2113	marijuana does not cause cancer	['Relation', 'Relation', 'Relation']	Relation
2120	a disadvantage rule out the benefits of using a very effective drug in cancer treatment	['NoRelation', 'NoRelation', 'Relation']	NoRelation
2128	a drug in a cancer trial means	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
2143	cancer : marijuana contains many cancer causing substances , many of which are present in higher concentrations in marijuana than in tobacco	['Relation', 'Relation', 'Relation']	Relation
2144	cancer : smoking marijuana ; see this goverment website	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2147	cancer of the respiratory tract and lungs may also be promoted by marijuana smoke	['Relation', 'Relation', 'Relation']	Relation
2154	cancer is drug resistant gonerehea	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2157	a chemical found in marijuana stops cancer	['Relation', 'Relation', 'Relation']	Relation
2164	cancer cells can be killed by the use of cannabis	['Relation', 'Relation', 'Relation']	Relation
2168	> a chemical found in marijuana stops cancer	['Relation', 'Relation', 'Relation']	Relation
2169	a chemotherapy drug derived from sea sponges are cancer alzheimer	['Relation', 'Relation', 'Relation']	Relation
2181	* increases risk of cancer , heart disease , stroke , seizure , nerve system damage this is not a qualifying criteria for a hardcore drug	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2200	cannabis is used to treat cancer	['Relation', 'Relation', 'Relation']	Relation
2206	cnn study finds smoking marijuana and cocaine can cause cancer infofacts marijuana , marijuana is proved to have the capabilities that grow cells that will better your learning and memory skills	['Relation', 'Relation', 'Relation']	Relation
2217	cannabis naturally kills cancer cells ( give the video only 10 minutes of your time please ) ( 11 )	['Relation', 'Relation', 'Relation']	Relation
2219	a study comparing 173 cancer patients and 176 healthy individuals produced strong evidence that the more marijuana increases the likelihood of developing cancer of the head or neck , and that the more marijuana smoked	['Relation', 'NoisySentence', 'Relation']	Relation
2230	cancer was accelerated aids etc from marijuana	['NoisySentence', 'Relation', 'Relation']	Relation
2234	cannabis can even cure many conditions , even cancer	['Relation', 'Relation', 'Relation']	Relation
2237	claiming smoking marijuana can not cause some cancers and infections complete ignores not only previous studies	['NoRelation', 'NoRelation', 'Relation']	NoRelation
2241	[ 6,7 ] e5 ) first hand account of cancer treatment via cannabis	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2244	cancer smoking cannabis can give you cancer , less likely than tobacco	['Relation', 'Relation', 'Relation']	Relation
2249	cannabinoids such as the main active component of marijuana ( thc ) have anticancer effects on human brain cancer cells	['Relation', 'Relation', 'Relation']	Relation
2252	a violence was supposedly due to a video game	['Relation', 'NoisySentence', 'Relation']	Relation
2253	this was to occur , therefore proving that the violent video game caused violence , thus proving that violent video games can lead to violence	['Relation', 'Relation', 'Relation']	Relation
2254	this was to see whether video games have led to more violence : 1	['Relation', 'Relation', 'Relation']	Relation
2256	this was to ours ' societyargument 2crime rate has decreased and video game sales go up rapidly by a second and most of video games are shooting shootings our violence	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
2259	an 8 year old boy had just finished playing grand theft auto a video game critics blame for encouraging violence before an 8 year old boy fatally shot a 90 year old woman	['Relation', 'Relation', 'Relation']	Relation
2264	this was to video game violence people become aroused by the violence via a number of physiological and hormonal cues	['Relation', 'Relation', 'NoRelation']	Relation
2283	violent video games frequently develop and an exaggerated level of violence and destructiveness	['Relation', 'Relation', 'Relation']	Relation
2288	[ 6 ] so video games actually reduce real world violence	['Relation', 'Relation', 'Relation']	Relation
2302	game includes video game 1/2 graphic violence , sex and sexism , violent and gory scenes	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2310	many people do n't become violent because of violence in video games	['NoisySentence', 'NoRelation', 'Relation']	NoAgreement
2311	generally the whole video games cause violence thing is agenda	['Relation', 'Relation', 'NoRelation']	Relation
2312	had the video game not existed , there would have been no violence occurring , thus making video games a cause for that instance of violence	['Relation', 'Relation', 'Relation']	Relation
2313	i would like to link to a brilliant video about how violent video games desensitizes us to violent video games , not real life violence	['Relation', 'NoisySentence', 'Relation']	Relation
2326	so following the topic , video games are a significant cause of violence	['Relation', 'Relation', 'Relation']	Relation
2329	when you saying that video games cause violence	['Relation', 'Relation', 'Relation']	Relation
2332	the same thing as me , most people play violent video games do cause violence	['NoRelation', 'Relation', 'NoRelation']	NoRelation
2340	see total biscuit , the cyinical brit 's youtube video , video games and violence	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
2342	this was to commit the common argument against violence in video games is that violence in video games cause aggression	['Relation', 'Relation', 'Relation']	Relation
2366	this was of how his video game addiction can lead to domestic violence	['Relation', 'Relation', 'Relation']	Relation
2378	most violent video games now adays punish extreme or unessecary violence examples of this are dis honoured	['Relation', 'Relation', 'Relation']	Relation
2381	interest in research on video games ' potential for violence increased	['NoRelation', 'NoRelation', 'Relation']	NoRelation
2382	my evidence demonstrates how violent video games actually reduce the incentive to instigate real violence and you will see just how unrealistic my sexy opponent 's claims are	['Relation', 'Relation', 'Relation']	Relation
2394	more people think video games cause violence than not	['Relation', 'NoRelation', 'Relation']	Relation
2400	youth view violence in video games	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2409	my opponent claims all video games cause violence ''	['Relation', 'Relation', 'Relation']	Relation
2450	if you look at the myth category of the website , it says , the growth in violent video game sales is linked to the growth in youth violence especially school violence throughout the united states ''	['Relation', 'Relation', 'Relation']	Relation
2462	people believe video games cause violence	['Relation', 'Relation', 'Relation']	Relation
2478	( sources : games > video game addiction > stress , depression , and mental health issues > domestic violence	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2480	me love video games , but does the high violence sometimes make you violent	['Relation', 'Relation', 'Relation']	Relation
2483	actual violence was occuring from video games	['Relation', 'Relation', 'NoRelation']	Relation
2485	evidence supporting the video game causes violence has been debunked as well	['NoRelation', 'Relation', 'NoRelation']	NoRelation
2490	influence bad behavior or violence violent video games	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2504	not video games are creating violence 2	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2505	maybe you should actually say video games cause violence for children , because the people know that video games wo n't make adults behave more aggressively	['Relation', 'Relation', 'Relation']	Relation
2537	the given video game in an example of a man has promoted something useful , as opposed to violence	['Relation', 'Relation', 'Relation']	Relation
2545	so someone addicted to violent video games might be triggered to violence	['Relation', 'Relation', 'Relation']	Relation
2551	the violence in video games violence	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
2583	the subject was also teen violence in relation to video games ''	['Relation', 'NoRelation', 'NoRelation']	NoRelation
2604	the research is getting clearer that over the long term , people with more exposure to violent video games have demonstrated things like lower empathy to violence , according to jeanne brockmyer of toledo	['Relation', 'Relation', 'Relation']	Relation
2616	the top 20 best selling video games in the us reward players for simulating violence	['Relation', 'NoRelation', 'NoRelation']	NoRelation
2619	the kids should not play violent video games because can cause violence to influence kids minds and that would change the life of a family	['Relation', 'Relation', 'Relation']	Relation
2626	but how far has this even negative press is good press philosophy taken violent video games it starts to desensitize them at an early age to the effects of violence	['NoRelation', 'Relation', 'Relation']	Relation
2629	both video game and movie violence exposure were associated with stronger proviolence attitudes ''	['Relation', 'Relation', 'Relation']	Relation
2635	a common argument against violence in video games is	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
2639	this decrease makes mockery of the idea that video games have legitimately contributed to the rise of violence in society today ( 5 )	['Relation', 'Relation', 'NoRelation']	Relation
2645	the moral panic over violent video games also misdirects energy away from eliminating the actual causes of youth violence ''	['Relation', 'Relation', 'NoRelation']	Relation
2648	juvenile violence rates are at a 30 year low because of video games	['Relation', 'Relation', 'Relation']	Relation
2651	the violence seen in video games often down plays violence	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2654	violent video games do not cause individuals to take real violence lightly	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2684	i must prove that ( a ) video games actually desensitize individuals and ( b ) desensitization significantly contributes to violence	['Relation', 'Relation', 'Relation']	Relation
2705	violence in video games	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2710	violent video games do not cause violence	['Relation', 'NoRelation', 'NoRelation']	NoRelation
2715	the violent video game allows for extraneous violence	['Relation', 'Relation', 'Relation']	Relation
2720	why should video games be different gun violence : since the massive craze with fps 's we have seen a drop in homicides in the	['NoRelation', 'Relation', 'Relation']	Relation
2732	we haven t proven ' video games directly cause violence because it can	['NoRelation', 'Relation', 'NoRelation']	NoRelation
2740	you say video games cause violence	['Relation', 'Relation', 'NoisySentence']	Relation
2760	that is to say , violent video games do not always cause violence	['NoRelation', 'Relation', 'NoisySentence']	NoAgreement
2766	coincidently the most popular video games incite violence	['Relation', 'Relation', 'Relation']	Relation
2770	thats because video games dont lead to violence	['Relation', 'Relation', 'NoRelation']	Relation
2789	violent video games aggression aggression just i	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2795	violent video games do not increase aggression	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2797	violent video games do not cause increased aggressive behavior	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2798	all video games act as a catalyst for aggression	['Relation', 'Relation', 'Relation']	Relation
2804	who played violent video games were to show aggressive behavior	['NoRelation', 'NoRelation', 'Relation']	NoRelation
2806	violent video games even correlate with aggression in individuals	['Relation', 'NoRelation', 'Relation']	Relation
2816	aggression 's accurate to suggest that after exposure to violent video games young adults do become aggressive	['Relation', 'Relation', 'Relation']	Relation
2819	violent video games are tied to aggression	['Relation', 'NoRelation', 'Relation']	Relation
2820	longitudinal effects of violent video games on aggression in japan and the united states	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2839	this study established to create a direct connection between the increase of aggression and video games	['NoisySentence', 'Relation', 'Relation']	Relation
2843	i opponent showing that video games cause aggression is simply not enough	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2852	teens play violent video games : tend to be more aggressive	['Relation', 'Relation', 'NoRelation']	Relation
2855	tend to be more aggressive are more prone to confrontation with children playing violent video games for long periods of times ' teachers	['NoisySentence', 'NoisySentence', 'NoRelation']	NoisySentence
2857	this is what said : according to a meta analysis ; the evidence strongly suggests that exposure to violent video games is a causal risk factor for aggressive affect and for decreased empathy and pro social behavior	['Relation', 'Relation', 'Relation']	Relation
2859	technological advancements in game play experience including the ability to play online has accounted for the increase of aggression and video games	['Relation', 'Relation', 'Relation']	Relation
2860	that habitual violent video game playing had a causal link with increased , long term , aggressive behavior	['Relation', 'Relation', 'Relation']	Relation
2863	randomized tests assign subjects to play violent or nonviolent games and then compare levels of aggression	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2870	this was in video games marketed to youth because of possible links between video games and aggression towards women	['Relation', 'NoRelation', 'NoRelation']	NoRelation
2885	the pamf source : my opponent 's is from the palo alto medical foundation , and makes the claim that violent video games leads to aggression	['Relation', 'Relation', 'Relation']	Relation
2892	these data suggest very strongly that participating in the playing of violent video games by children and youth increase aggressive thought and behavior	['Relation', 'Relation', 'Relation']	Relation
2904	that people play video games to release aggression	['NoRelation', 'NoRelation', 'Relation']	NoRelation
2905	the kids play video games ( violent ones actually ) become more aggressive and prone to copy actions from a violent video game	['Relation', 'Relation', 'Relation']	Relation
2907	the actual study shows very strongly that repeated exposure to violent video games can increase aggression by increasing aggressive thinking ''	['Relation', 'Relation', 'Relation']	Relation
2912	the amount of exposure to violent video games early in the school year predicted later aggression , even after controlling for gender and previous aggressiveness in each sample would predict changes in physical aggressiveness predicted later aggression	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
2923	the evidence strongly suggests that exposure to violent video games is a causal risk factor for aggressive affect and for decreased empathy and prosocial behavior	['Relation', 'Relation', 'Relation']	Relation
2924	the evidence strongly suggests that exposure to violent video games is a causal risk factor for aggressive cognition and for decreased empathy and prosocial behavior	['Relation', 'Relation', 'Relation']	Relation
2926	the findings are pretty good evidence that violent video games do indeed cause aggressive behavior , says rowell huesmann , director of the research center for group dynamics at the university of michigan 's institute for social research in ann arbor	['Relation', 'Relation', 'Relation']	Relation
2929	empathy is the opposite of aggression ( helping someone as opposed to hurting non violent video game players )	['NoRelation', 'Relation', 'NoRelation']	NoRelation
2944	people do n't get aggressive because of playing violent video games	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
2952	is it making the claim that violent video games lead to aggression	['Relation', 'NoisySentence', 'Relation']	Relation
2958	it 's plainly obvious , video games make people of all ages agitated and aggressive	['Relation', 'Relation', 'Relation']	Relation
2960	if there is an official study , and it would be proven that indeed violent video games cause aggression , i would call aggression a victory for you	['Relation', 'Relation', 'Relation']	Relation
2966	playing violent video games is a significant risk factor for later physically aggressive behavior my sources : pediatrics 2008 nov ; 122 ( 5 ) : e1067 72 european psychiatry 2008 apr ; 23:212 8 journal of psychiatry research 2008 mar ; 42 ( 4 ) :253 8 pediatrics 2007 nov ; 120 ( 5 ) :978 85 cyberpsychology & behavior 2007 aug ; 10 ( 4 ) :552 9 psychological science 2007 jan ; 18	['Relation', 'Relation', 'Relation']	Relation
2982	because the interrogaters would believe him to be a terrorist torture in order to extract information	['NoRelation', 'Relation', 'NoisySentence']	NoAgreement
3009	b2 brutalization : by the government torturing random people for information for national security , this sends an image to the people that torture is just in some instances	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
3011	informed consent 's the legal capacity to end one 's suffering when death is in the near future	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3085	3 ) the political compass also suffers from information bias	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3129	some instances of torture are to gain information , to terrorize some political group , or to gratify a desire and to exercise power	['NoRelation', 'Relation', 'Relation']	Relation
3142	the torture of guy fawkes in 1605 helped to gain information of who is co conspirators were and if there were any more bombs after co conspirators had tried to blow up the british parliament	['NoisySentence', 'Relation', 'NoRelation']	NoAgreement
3144	the torture of abu zubayda allowed critical information	['Relation', 'Relation', 'NoRelation']	Relation
3153	a borrower would suffer making an informed choice	['Relation', 'NoRelation', 'Relation']	Relation
3161	the torture victim gives false information [ 9 ]	['Relation', 'NoRelation', 'Relation']	Relation
3166	ther 's bob will give the info bob 's negate our respect to not torture etc comapred to the resource uses	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3169	then there would be very little scope of obtaining vital information necessary to eliminate suffering and premature deaths in both humans and animals	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3177	the torturer would gain a reason to give information	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3183	the information obtained from torture has a high risk of not achieving the desired end because the information obtained from torture is unreliable , and that the means involves produce many immoral consequences , harming both the detainee and the torturer	['Relation', 'NoRelation', 'Relation']	Relation
3210	the only reasonable cause would be to get information out of torturing suspects	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3217	the meaning of torture was the use of physical force to gain information from captured militants	['Relation', 'NoRelation', 'NoRelation']	NoRelation
3226	torture opponents case : is , obtaining information and saving lives	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3227	torture provides a way to retrieve information from a person for necessary reasons such as saving a life or saving multiple lives	['Relation', 'Relation', 'Relation']	Relation
3233	torture is useful for information	['NoisySentence', 'Relation', 'Relation']	Relation
3234	torture will be able to sway an individual to unveil this information ( assuming that they have this information )	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3241	torture will simply produce much more bad information is good	['Relation', 'Relation', 'Relation']	Relation
3244	torture would be effective in gaining necessary information	['Relation', 'NoRelation', 'Relation']	Relation
3248	torture is ineffective , counterintuitive , and thus should n't be opponent claims that an al qaeda operative was tortured and this lead to good information	['Relation', 'Relation', 'Relation']	Relation
3257	torture is the act of inflicting excruciating pain as a means of getting a confession or information , or for sheer cruelty	['NoisySentence', 'Relation', 'Relation']	Relation
3259	torture is the act of inflicting severe pain ( whether physical or psychological ) as a means of punishment forcing information or a confession	['NoisySentence', 'NoRelation', 'Relation']	NoAgreement
3270	many people will be willing to say anything if information obtained by torture can get the pain to stop	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
3271	many people will be willing to say anything if information obtained by torture can get physical pain to stop	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
3295	my brought up that the majority of the time the torture brings no information , and when it does bring information more than half the time	['NoRelation', 'Relation', 'NoisySentence']	NoAgreement
3298	all babies are potential information if the earth 's a negative sum , utilitarianism dictates the suffering of one to alleviate that of many [	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3304	( pro has not rebutted this ) thus , we reach the conclusion that torturing jim will lead to unreliable information that , more likely than not , would lead we to a dead end if followed	['Relation', 'Relation', 'Relation']	Relation
3307	victims of torture will offer intentionally misleading information	['Relation', 'Relation', 'Relation']	Relation
3333	this was to improve the reliability of the information over that being obtained by poorly trained foreign interrogators , and also to prevent the severe torture obama administration has continued a policy of rendition	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3334	rendition : ( ) handing over prisoners to countries where torture is allowed ticking time bomb problem : a situation in which a detainee knows information that would enable preventing a disastrous event or events , where the timeliness of the information is critical to the preventing a disastrous event from occurring	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3357	torture has used to obtain valuable and useful information	['NoRelation', 'Relation', 'Relation']	Relation
3363	no factual evidence was given to show that any of terrorist attackss ' confessions/convictions/valuable information is the result of torture techniques	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3368	torture is an effective means by which to gather information	['Relation', 'Relation', 'Relation']	Relation
3374	on another note , any proper application of torture would only be toward the extraction of information	['Relation', 'NoRelation', 'NoRelation']	NoRelation
3384	not so , but attempts to universalize judgments of personal beauty ( as this is what the conversation has focused on ) will inevitably suffer from a general lack of information ( the hypotheticals ) in an attempt to universalize	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
3390	actively show torture as an effective way of gathering information	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
3423	different occasions of waterboarding torture to get any information	['Relation', 'NoRelation', 'Relation']	Relation
3435	you attempt at refuting the faulty information point , while seemingly logical , falls once the faulty information point is realized that when you are being tortured , you may not have the information that the cia wants , so fabricating information would not only solve the predicament , but ruin the talibans ' information system	['NoisySentence', 'NoRelation', 'NoisySentence']	NoisySentence
3456	corporal punishment being reintroduced to delaware children are too soft for corporeal punishment	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3457	the practice [ of corporal punishment ] directly conflicts with the equal and inalienable rights of children to respect for physical distinct nature of children as well as childrens ' vulnerability the need for more , rather than less , legal and other protection from all forms of violence ''	['NoisySentence', 'NoRelation', 'Relation']	NoAgreement
3464	the practice [ of corporal punishment ] directly conflicts with the equal and inalienable rights of children to respect for childrens ' human dignity	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3491	this is what corporal punishment teaches children	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3494	a child as a good thing for the kid also tends to mentally become dehumanized and/or depressed from the corporal punishment	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3515	corporal punishment does not help a child to develop into an adult with self discipline and respect for other people	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3519	your child 's to be disciplined as a result of corporal punishment	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3527	the meta analyses allow understanding only of whether corporal punishment and child constructs are associated	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
3535	suspension is more beneficial to a child than corporal punishment	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3536	according to the natural child project ten reason not to hit a child ( which i 'm not going to list all ) , through extensive research and the ban of corporal punishment by 37 countries , punishment distracts	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3539	not to accept that responsibility is to lie down on the job , to fail god 's child discipline methods : corporal punishment no less ! corporal punishment : corporal punishment is a form of physical punishment that involves the deliberate infliction of pain as retribution for an offence , or for the purpose of disciplining or reforming a wrongdoer , or to deter attitudes or behaviour deemed unacceptable	['Relation', 'NoRelation', 'NoRelation']	NoRelation
3543	beating the devil out of them : corporal punishment in american families and its effects on children	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3544	every test done studying corporal punishment on children found some level of emotional problems	['NoRelation', 'NoisySentence', 'Relation']	NoAgreement
3551	studies have shown that corporal punishment of children is related to decreased morality , increased aggression , more antisocial behavior decreased mental health outcomes	['Relation', 'Relation', 'Relation']	Relation
3554	studies show that since corporal punishment was banned discipline in children has gone dramatically down	['Relation', 'Relation', 'Relation']	Relation
3557	of the association between behavioural and emotional difficulties , there is significant theoretical and empirical justification for assuming that at least some important part of the association between behavioural and emotional difficulties is due to the causal impact of corporal punishment the use of corporal punishment has been associated with anger , fear , and humiliation in the child 's	['Relation', 'Relation', 'NoRelation']	Relation
3564	corporal punishment on their children	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
3571	corporal punishment often over responds to innocent child behavior	['Relation', 'Relation', 'NoRelation']	Relation
3586	corporal punishment is the quickest way to punishment misbehaving child	['NoisySentence', 'Relation', 'NoRelation']	NoAgreement
3590	when applied routinely will not cause any injuries besides some reddening of the skin and perhaps a few welts there is also a risk that if used as the primary means of discipline corporal punishment will gradually become less effective the child 's	['NoisySentence', 'NoRelation', 'Relation']	NoAgreement
3595	common core practices such as corporal punishment and brainwashing indoctrination have undoubtedly helped children make better dietary choices	['Relation', 'Relation', 'NoRelation']	Relation
3598	corporal punishment not only also affects the childs life	['NoRelation', 'NoisySentence', 'Relation']	NoAgreement
3610	corporal punishment not only has negative psychological , emotional and physical effects on a child	['Relation', 'Relation', 'Relation']	Relation
3611	corporal punishment of children breaches childrens ' fundamental human rights	['Relation', 'Relation', 'Relation']	Relation
3628	many countries out lawed homosexuality , female workers and abortions tell parents that corporal punishment in wrong , but when many countries out lawed homosexuality , female workers and abortionss ' child acts out or gets in trouble with the law out lawed homosexuality , female workers and abortions blame many countries out female workers	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3634	allowing corporal punishment is discriminatory against children because of childrens ' age as corporal punishment against children denies children equal protection under the law	['Relation', 'Relation', 'NoRelation']	Relation
3640	corporal punishment teaches children not to engage in a particular behaviour because children risk being beaten	['Relation', 'Relation', 'Relation']	Relation
3641	children experience corporal punishment	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
3644	children do not have to be threatened by childrens ' to get children to behave corporal punishment blurs the line between abuse ' and discipline ' and allows people to justify injuring childrens ' children	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3649	children 's lifestyle ; children are punished corporately for the choices of childrens ' nation the result	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3652	child corporal punishment : spanking	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
3657	children in the 1997 study whose parents used corporal punishment to reduce anti social behavior actually experienced the opposite from their children an increased probability of aggression and other antisocial behavior	['Relation', 'Relation', 'Relation']	Relation
3724	the issue with shortening a school day is the trouble of preparing for standardized tests and making sure students have retained new information	['NoRelation', 'Relation', 'Relation']	Relation
3749	any form of standardized test can show a student	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3751	all standardized testing does is provide the state with how much students at different schools are learning	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3752	it discourages students from learning a wider range of material as sourced above , since the rest of theirs ' knowledge will not determine theirs ' results on many standardized tests	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
3764	contention 1 : standardized testing holds educators accountable ( hughes 2015 ) standardized testings ' objectivity and ability to measure student learning , standardized tests are useful tools for holding teachers , schools , and districts accountable for success or failure	['NoisySentence', 'Relation', 'NoRelation']	NoAgreement
3788	mandatory province/statewide standardized tests are meant to test not the student , but the teacher	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3820	this drop was due to standardized tests and the stress they put on the students	['Relation', 'NoRelation', 'Relation']	Relation
3839	if we were to take out affirmative action , thus having the same test score standards for every race , then a significantly small amount of black and latino students would be admitted , most would then start to question theirs ' ability	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3851	failing the standardized test is the result of a lack of preparedness , or the result of a failure to learn the proper information , either of which are the fault of a student , and in some cases , select teachers	['Relation', 'Relation', 'Relation']	Relation
3852	national , standardized tests are a poor measure of student learning	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3855	again as described above standard test ranks schools and naturally schools compete for the top to gain students and impacts include increasing the housing market , population , and overall the income of the government 's to prevent furloughs	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3857	failing a standardized test results in a student 's inability to proceed on to the next grade level	['Relation', 'Relation', 'Relation']	Relation
3876	a standardized test is a snapshot of how a student 's is achieving on a particular day at a particular time	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3879	students also don t have much standardized tests	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3893	standardized tests such as the act and sat are the best way for universities to discern possible students	['NoRelation', 'NoRelation', 'Relation']	NoRelation
3897	students are less likely to succeed in the workplace for the prosperity of the united states ) the use of standardized tests	['NoisySentence', 'Relation', 'NoisySentence']	NoisySentence
3927	standardized tests are used to examine a students ability to answer those questions	['Relation', 'NoRelation', 'Relation']	Relation
3930	standardized tests are the best way for colleges to decide on potential students	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3943	standardized tests prepare students	['NoRelation', 'Relation', 'NoRelation']	NoRelation
3944	standardized tests poorly measure real student learning	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
3949	contention two : standardized exams hurt minorities and low performing students by providing inaccessible test prep opportunities	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
3953	standardized tests have a negative effect on students my opponent 's citation is ( sacks , 2000 ) ''	['NoisySentence', 'Relation', 'Relation']	Relation
3954	standardized tests favor students	['Relation', 'NoRelation', 'NoisySentence']	NoAgreement
3955	standardized tests exclude students	['Relation', 'Relation', 'NoRelation']	Relation
3978	the benefits ( increase in grades and standardized test scores ) is proven in an article on students of the opposite sex can be a distraction ''	['NoRelation', 'Relation', 'NoisySentence']	NoAgreement
3981	contention 2 : tests provide a guide to education whether to identify struggling students who need help , or gifted children for possible advancement , standardized tests provide benchmarks of average performance so this is possible	['Relation', 'Relation', 'Relation']	Relation
3998	the current teachers would then give the students state standardized tests	['NoRelation', 'NoisySentence', 'NoisySentence']	NoisySentence
4001	here is an article calling into question the use of standardized tests ) schools receive funding based on scores this only serves as incentive for high school to remove students that do not perform as well on such tests	['NoRelation', 'Relation', 'NoRelation']	NoRelation
4006	teacher lectures many students pass test and learn standards	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
4010	successful use of standardized tests requires believing that standardized tests can contribute to improved teaching and student	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
4012	contention 5 : standardized testing evaluates and improves student performance	['Relation', 'Relation', 'Relation']	Relation
4023	this is to manipulate students and tests in order to artificially inflate standardized examss ' passing scores	['NoRelation', 'NoRelation', 'Relation']	NoRelation
4041	this is what a standardized test allows the teacher to be aware of what a students ' students are learning , and what a student are having a hard time with	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
4051	standardized testing has a positive effect on student achievement in school and in life 12 education	['Relation', 'Relation', 'Relation']	Relation
4053	standardized testing has a positive effect on student achievement in school and in life	['Relation', 'Relation', 'Relation']	Relation
4060	2 ) standardized testing tells parents and the school how well students are faring across the country and locally ''	['NoRelation', 'Relation', 'NoRelation']	NoRelation
4062	standardized testing can discriminate against students	['Relation', 'Relation', 'Relation']	Relation
